codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,timestamp_captura
30521,LRC6594,20,-23.000898333333332,-43.367196666666665,2021-02-24 12:51:58,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
86882,LSP9600,22,-22.92042,-43.60716166666667,2021-01-26 13:38:09,0,8970,ida,22- ALVORADA X J. OCEÂNICO (PARADOR),2021-02-24 17:17:36.734128
50302,LSB7J03,0,-22.920143333333332,-43.60740333333333,2020-11-06 10:01:42,0,,,,2021-02-24 17:17:36.734128
12705,LSO1638,46,-22.939868333333333,-43.37236,2021-02-24 13:16:53,57,145,volta,46 - ALVORADA X PENHA ( EXPRESSO ),2021-02-24 17:17:36.734128
27208,KRN8700,10,-22.919941666666666,-43.607565,2021-02-24 12:59:41,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
86864,KRK5260,20,-23.0073,-43.54964,2021-02-24 13:16:52,56,123,volta,20 - SALVADOR ALLENDE X SANTA CRUZ ( EXPRESSO ),2021-02-24 17:17:36.734128
12718,KRP5933,10,-23.011701666666667,-43.531886666666665,2021-02-24 13:10:08,58,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
12739,LMJ4F12,20,-22.919953333333332,-43.60764,2021-02-17 06:49:40,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
12742,KXE8865,35A,-23.006433333333334,-43.316606666666665,2021-02-24 12:47:15,0,9431,volta,35A -  JARDIM OCEÂNICO X MADUREIRA,2021-02-24 17:17:36.734128
30542,KXE7717,53A,-22.964926666666667,-43.39145833333333,2021-02-24 03:41:26,8,8966,ida,53A - SULACAP X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
12741,LMJ4F12,0,-22.919821666666667,-43.607175,2021-02-23 09:27:19,0,,,,2021-02-24 17:17:36.734128
86887,KRQ6875,10,-23.000901666666667,-43.36508,2021-02-24 12:51:54,0,107,volta,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),2021-02-24 17:17:36.734128
44705,KQY3699,51,-22.919961666666666,-43.60784666666667,2021-02-24 13:08:18,0,3551,ida,51 - T. RECREIO X VILA MILITAR (PARADOR),2021-02-24 17:17:36.734128
44715,LRG8848,40A,-22.878803333333334,-43.341163333333334,2021-02-24 05:40:11,12,8972,ida,40A - MADUREIRA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
86836,LSJ4178,19,-22.972315000000002,-43.613573333333335,2021-02-24 13:04:56,47,124,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
12733,KRQ4900,10,-22.917236666666668,-43.683341666666664,2021-02-24 13:16:47,6,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
13406,LRG6479,51A,-23.002078333333333,-43.365775,2021-02-24 13:13:59,0,9162,volta,51A -  Terminal Alvorada x Vila Militar,2021-02-24 17:17:36.734128
44737,LSG9581,35,-22.972566666666665,-43.38619833333333,2021-02-24 07:01:17,0,108,ida,35 - MADUREIRA X ALVORADA ( PARADOR )- ida,2021-02-24 17:17:36.734128
44711,LRG8851,20,-22.920003333333334,-43.608515,2020-12-08 14:39:54,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
30514,KYL8595,35A,-22.972895,-43.38577,2021-02-24 13:14:50,0,9430,ida,35A - MADUREIRA X JARDIM OCEÂNICO,2021-02-24 17:17:36.734128
27201,LSL9109,0,-22.919481666666666,-43.607481666666665,2021-02-24 13:09:05,0,,,,2021-02-24 17:17:36.734128
44733,KZF9132,10,-22.920563333333334,-43.607076666666664,2021-02-24 13:09:24,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
47010,KPZ8363,35,-23.006395,-43.31613333333333,2021-02-24 12:32:10,0,109,volta,35 - ALVORADA  X  MADUREIRA ( PARADOR ) - Volta,2021-02-24 17:17:36.734128
86884,LSP9604,10,-22.919536666666666,-43.60738833333333,2021-02-24 13:06:24,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
86867,LRK8436,20,-22.91996,-43.60784,2021-02-24 13:16:49,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
86855,LRH9940,11N,-22.920451666666665,-43.607058333333335,2021-02-24 13:16:36,0,104,ida,11N - SANTA CRUZ X ALVORADA,2021-02-24 17:17:36.734128
30522,LRE9805,22,-22.96463333333333,-43.391731666666665,2021-02-02 00:51:18,0,8970,ida,22- ALVORADA X J. OCEÂNICO (PARADOR),2021-02-24 17:17:36.734128
12734,LSP8673,46,-22.879073333333334,-43.341275,2021-02-24 05:15:29,37,144,ida,46- PENHA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
27202,LSL9112,0,-22.854391666666668,-43.25210333333333,2021-02-24 13:10:46,0,,,,2021-02-24 17:17:36.734128
A993G20,LMU3G20,0,-22.7964166,-43.1933664,2021-02-24 12:37:56,0,,,,2021-02-24 17:17:36.734128
LMV3A43 MOTO,LMV3A43,0,-22.9948996,-43.3938629,2020-08-26 21:28:29,0,,,,2021-02-24 17:17:36.734128
A993A62,LMV3A62,0,-22.9948025,-43.3938951,2020-12-26 01:38:41,0,,,,2021-02-24 17:17:36.734128
